店铺名,星级,点评数量,人均,口味,环境,服务
汕头八合里海记牛肉店(苹果园店),五星商户,169,￥117,9.0,9.1,8.7
八品道臺記锅食匯(陆港城店),五星商户,200,￥73,9.1,9.1,9.3
东来顺饭庄(展览路店),准五星商户,1060,￥122,9.0,9.0,8.9
重庆三姐老火锅(西关店),五星商户,298,￥95,9.2,9.0,8.8
源味屋韩式火锅&炸鸡,五星商户,616,￥62,8.8,8.9,9.0
炎神·鲜牛肉火锅(上地店),准五星商户,529,￥99,8.9,9.1,8.8
鲜潭蒸汽石锅鱼(龙德广场店),五星商户,67,￥110,9.0,9.1,9.0
一网不捞鱼,五星商户,364,￥68,8.9,9.1,9.1
汗普士涮肉馆(三里屯店),五星商户,790,￥95,8.9,9.1,8.9
鑫方老鸭汤火锅·羊蝎子(知春路店),五星商户,768,￥69,9.1,8.6,9.1
乐游串串香,准五星商户,295,￥82,8.6,8.9,8.9
四季传锅,五星商户,233,￥102,9.1,9.0,9.1
太婆天府山珍酒楼(复兴门店),准五星商户,1786,￥94,9.0,7.4,7.8
渝焱·重庆秘宗火锅,准五星商户,1430,￥138,9.0,9.1,8.8
浩杉毛肚火锅(东高地店),五星商户,1413,￥105,9.4,9.4,9.3
粤悦香火锅·茶点(朝外大街店),五星商户,384,￥98,9.0,9.1,9.1
鼎鲜渔掌门养生火锅,五星商户,1976,￥96,9.1,9.0,9.0
玺源居老北京涮肉(前门大栅栏店),准五星商户,309,￥108,9.1,8.2,9.0
老门框爆肚涮肉(方庄总店),准五星商户,1207,￥98,9.1,7.8,7.6
炎神·鲜牛肉火锅(亦庄店),五星商户,398,￥116,9.1,9.1,8.9
沸炉火锅.地道的川味火锅(军事博物馆店),五星商户,1987,￥102,9.0,9.0,9.0
浩杉毛肚火锅(槐房万达店),五星商户,1329,￥107,9.2,9.3,9.2
李嘉嘉串串香(双井店),准五星商户,3822,￥99,8.9,8.0,8.0
川成串 串串香火锅,准五星商户,2183,￥83,8.9,8.7,8.6
老街火锅(阜成路店),五星商户,1304,￥133,9.0,9.1,8.6
鲜牛记潮汕牛肉火锅(潘家园店),五星商户,859,￥128,9.0,9.0,8.9
高兴壹锅潮汕鲜牛肉火锅(霄云路店),五星商户,90,￥81,9.1,9.1,9.0
鲜牛记潮汕牛肉火锅,准五星商户,1572,￥125,8.9,8.9,8.6
伊尹海鲜自助火锅(五棵松华熙店),准五星商户,625,￥257,8.7,8.5,8.8
醉香苑老北京火锅(白纸坊店),五星商户,1318,￥103,9.1,8.6,8.8
吃肉群众火锅,五星商户,264,￥114,8.8,9.1,9.1
芦月轩羊蝎子(管庄店),五星商户,2332,￥77,9.1,8.8,8.7
三十五号院(四合院私房火锅),准五星商户,133,￥638,8.9,9.0,9.0
众宜轩老北京铜锅涮肉(传媒大学店),准五星商户,206,￥140,8.8,9.1,8.4
赵小柒串串香,准五星商户,633,￥93,8.8,8.5,9.0
海底捞火锅(天通苑华联店),准五星商户,1763,￥118,9.1,9.0,9.0
南城小刘涮肉,准五星商户,1350,￥93,9.1,7.3,7.8
虾吃虾涮(国瑞购物中心店),五星商户,2112,￥88,9.0,9.0,8.9
四川碟滋味火锅(宋家庄店),五星商户,1987,￥89,9.1,9.1,9.1
川越串吧,五星商户,196,￥62,9.0,9.2,9.1
东来顺(顺义店),五星商户,308,￥158,9.1,9.1,9.0
京城第一蝎(西单店),准五星商户,820,￥79,9.0,7.9,8.6
魏老香鸡火锅(马驹桥店),五星商户,354,￥68,9.2,9.2,9.1
猜丁壳私家牛板筋火锅店,五星商户,236,￥70,9.2,9.0,9.0
卢卡上上签,五星商户,1228,￥86,8.8,9.2,9.0
六年二班串串(学清路校区),准五星商户,279,￥58,8.7,9.0,8.5
小哥串串香(三里屯店),准五星商户,1700,￥71,9.0,8.0,8.7
HI辣火锅(大悦城店),准五星商户,12836,￥133,8.6,8.4,8.3
宽坐河鲜馆,五星商户,286,￥553,9.1,9.2,9.2
来涮蜀串串香火锅(复兴门店),准五星商户,905,￥102,8.9,8.5,8.6
王婆大虾(玲珑路店),五星商户,128,￥75,9.1,8.6,8.7
巴蜀签串串香火锅(对外经贸店),准五星商户,173,￥83,8.8,9.0,9.1
渡娘火锅(广安门店),五星商户,1611,￥103,9.0,9.1,9.0
诱饵,五星商户,845,￥121,9.0,8.6,9.1
汕头嗨牛鲜牛肉火锅店,准五星商户,1114,￥113,9.0,9.0,9.0
蝎梁府(左家庄店),五星商户,659,￥85,9.1,8.7,8.8
蝎王府(垂杨柳店),准五星商户,3671,￥94,9.0,8.1,8.2
汕头八合里海记牛肉店(国贸店),准五星商户,1578,￥125,9.0,8.6,7.9
阳坊大都涮羊肉(定慧寺店),五星商户,658,￥96,9.1,9.1,9.0
情忆草原涮肉馆,准五星商户,763,￥136,8.9,7.3,7.8
王家渡火锅(金宝汇店),准五星商户,1213,￥172,8.9,9.2,8.7
川越,准五星商户,785,￥80,9.0,8.5,8.8
福寿斋(清岚店),准五星商户,489,￥98,9.1,8.1,8.4
